"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","BEDDING PLANT TOTALS","BEDDING PLANT TOTALS - OPERATIONS WITH AREA IN PRODUCTION","TOTAL","NOT SPECIFIED","8","18.6"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","BEDDING PLANT TOTALS","BEDDING PLANT TOTALS - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","8","18.6"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","BEDDING PLANT TOTALS","BEDDING PLANT TOTALS - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","BEDDING PLANT TOTALS","BEDDING PLANT TOTALS, IN THE OPEN - ACRES IN PRODUCTION","TOTAL","NOT SPECIFIED","3","5.0"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","BEDDING PLANT TOTALS","BEDDING PLANT TOTALS, UNDER PROTECTION - SQ FT IN PRODUCTION","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES - ACRES IN PRODUCTION","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES - AREA HARVESTED, MEASURED IN TREES","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","2","22.7"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES - OPERATIONS WITH AREA IN PRODUCTION","TOTAL","NOT SPECIFIED","2","23.2"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES - OPERATIONS WITH SALES","TOTAL","NOT SPECIFIED","2","22.7"
"CENSUS","2012","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","ALAMEDA","001","","","00000000","","CUT CHRISTMAS TREES","CUT CHRISTMAS TREES - SALES, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)","(D)"
